project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Railway,226.9,189,62.3,49.0,2,45,76.7,61.6,5,18.8,0,0
Irrigation,448.3,390,94.4,91.2,2,12,66.1,45.3,6,32.4,0,0
Urban Infrastructure,221.1,255,89.2,76.2,2,7,76.0,82.4,10,19.3,0,0
Highway,295.9,169,54.7,34.0,0,19,46.1,44.4,11,37.1,0,0
Industrial Corridor,74.7,56,72.9,74.0,3,9,38.5,26.7,7,36.8,0,0
Highway,157.0,144,65.6,73.0,0,15,72.5,33.1,9,10.9,0,0
Highway,151.2,193,69.5,65.5,1,19,76.6,85.5,6,29.0,0,0
Irrigation,63.1,44,63.4,66.2,2,32,73.4,39.8,6,14.0,1,30
Urban Infrastructure,217.0,162,94.5,69.1,1,62,65.6,59.5,11,35.1,0,0
Highway,75.2,74,71.7,72.3,2,11,56.5,48.0,6,13.6,1,69
Irrigation,205.6,145,75.5,66.2,0,20,67.2,39.9,3,29.5,0,0
Highway,312.3,150,75.6,53.8,0,5,70.6,31.3,10,34.1,0,0
Irrigation,705.2,813,55.6,29.7,5,29,71.8,56.5,9,26.7,1,187
Irrigation,145.0,121,73.7,62.8,2,22,100.0,73.5,12,35.5,0,0
Irrigation,306.2,183,89.0,75.6,2,3,44.6,49.4,10,29.2,1,372
Irrigation,174.1,64,95.6,100.0,0,23,100.0,98.9,9,43.2,0,0
Highway,71.3,14,53.6,31.3,3,9,37.9,49.2,3,13.9,1,15
Irrigation,710.4,725,47.7,22.0,4,15,70.7,69.4,7,21.8,1,120
Irrigation,322.3,152,73.0,91.2,3,52,39.1,21.6,5,4.9,0,0
Irrigation,397.2,102,89.7,57.0,0,4,69.1,56.9,10,22.7,0,0
Highway,784.8,342,77.8,79.6,1,31,82.6,47.7,19,12.9,0,0
Railway,204.8,188,82.9,66.6,0,8,63.7,23.9,11,10.7,0,0
Railway,97.7,46,50.2,41.1,2,6,82.5,75.5,3,8.9,0,0
Highway,143.3,133,62.8,55.6,0,11,54.5,55.7,9,20.8,0,0
Highway,89.8,48,36.9,31.8,0,6,22.0,0.0,5,28.8,1,63
Railway,588.1,443,69.7,75.6,5,73,75.5,47.5,11,31.3,1,18
Industrial Corridor,930.7,737,37.4,22.1,3,3,63.6,48.0,12,37.0,1,182
Highway,309.9,346,93.3,89.3,2,5,53.4,33.8,7,36.4,0,0
Industrial Corridor,456.7,520,96.9,100.0,2,2,54.8,37.6,6,13.6,0,0
Irrigation,538.2,413,74.3,80.8,2,9,71.1,76.9,9,17.8,0,0
Industrial Corridor,818.1,333,47.8,57.9,1,19,46.7,56.0,5,28.1,1,64
Railway,906.5,1299,78.0,77.3,3,21,70.5,62.3,12,28.3,1,30
Railway,49.0,29,100.0,85.2,3,23,86.8,80.8,10,41.2,0,0
Irrigation,178.0,21,79.6,81.6,2,24,100.0,86.8,5,22.8,0,0
Urban Infrastructure,285.5,256,91.0,69.3,1,37,91.1,84.1,3,34.4,0,0
Railway,161.3,148,64.2,57.9,0,53,66.2,82.7,8,24.4,0,0
Irrigation,231.3,140,58.1,54.2,1,28,68.2,90.9,13,29.9,1,33
Irrigation,379.9,102,70.9,62.7,1,19,55.0,34.9,11,30.3,1,47
Industrial Corridor,372.8,85,41.2,13.7,2,8,53.7,54.6,3,25.8,1,82
Highway,526.8,334,100.0,100.0,0,20,80.4,74.9,9,15.3,0,0
Railway,290.1,110,74.2,43.0,0,28,56.8,56.2,10,29.0,1,104
Railway,24.5,31,85.9,64.5,1,14,70.3,75.0,6,33.1,0,0
Urban Infrastructure,217.0,134,64.6,56.9,1,32,43.7,48.8,7,27.2,0,0
Railway,354.8,203,47.3,22.7,0,24,90.4,66.1,11,2.0,1,34
Railway,551.5,1089,94.8,91.3,4,9,56.6,51.2,8,24.1,0,0
Urban Infrastructure,500.6,66,54.0,42.0,1,11,84.8,66.3,1,33.5,1,20
Railway,262.5,196,77.6,77.2,2,41,48.9,28.4,4,15.2,0,0
Highway,168.9,34,79.1,57.6,1,2,47.9,34.2,5,37.7,0,0
Highway,271.5,412,73.2,75.1,0,3,89.6,68.6,4,19.3,0,0
Highway,57.2,14,59.4,52.1,0,7,50.5,41.3,12,22.5,1,60
Highway,182.2,171,69.6,52.1,4,76,31.6,2.1,9,28.3,1,332
Railway,618.7,534,56.8,34.1,2,25,42.2,20.8,3,15.9,1,91
Industrial Corridor,270.9,54,84.9,88.4,1,11,80.1,56.8,9,36.0,0,0
Industrial Corridor,365.3,345,81.1,62.6,4,25,78.2,83.3,12,39.9,0,0
Highway,86.4,46,71.7,77.4,3,10,47.7,34.8,6,13.9,0,0
Irrigation,549.1,577,62.9,85.0,6,19,50.4,68.9,9,24.0,0,0
Highway,252.8,129,100.0,100.0,1,12,76.5,46.5,8,46.8,0,0
Urban Infrastructure,356.8,338,51.2,31.5,1,24,89.3,89.6,3,38.1,0,0
Highway,411.5,290,47.3,39.5,2,15,61.6,59.9,9,8.3,0,0
Irrigation,535.9,506,70.7,70.2,4,11,74.1,85.6,5,38.8,1,25
Railway,319.9,333,67.9,59.1,1,19,80.5,72.0,16,2.0,0,0
Irrigation,257.1,169,89.6,81.3,3,13,100.0,95.0,3,32.8,0,0
Railway,104.8,62,82.3,65.6,1,13,39.9,3.6,7,16.6,1,148
Industrial Corridor,79.1,81,72.5,87.1,1,4,49.6,27.7,13,31.1,0,0
Highway,315.4,170,80.0,73.4,0,24,52.9,51.6,5,28.7,0,0
Urban Infrastructure,358.4,239,79.7,70.0,2,93,79.6,95.6,9,27.5,1,15
Railway,399.7,673,100.0,100.0,3,19,58.0,83.3,36,32.4,1,108
Industrial Corridor,145.8,110,76.1,87.4,1,14,69.2,75.6,12,20.5,0,0
Industrial Corridor,183.6,209,61.1,58.2,2,14,65.4,76.4,9,19.4,0,0
Urban Infrastructure,311.4,151,75.2,67.1,0,40,63.0,48.8,11,36.2,0,0
Highway,201.9,189,30.1,21.9,1,20,65.1,58.3,10,26.1,1,24
Highway,1172.5,794,71.5,71.3,2,16,83.6,74.3,4,19.7,0,0
Highway,180.5,109,89.5,89.9,1,15,43.6,48.8,9,24.0,0,0
Highway,375.4,70,81.6,79.1,0,18,60.0,48.7,23,23.1,1,93
Irrigation,490.6,188,76.8,64.6,1,7,38.7,51.0,15,22.2,0,0
Urban Infrastructure,510.7,86,82.4,57.0,1,7,67.5,59.8,6,30.9,0,0
Urban Infrastructure,199.2,408,89.7,100.0,3,4,59.1,37.6,6,16.4,0,0
Irrigation,412.9,288,94.8,78.1,0,24,84.4,80.9,24,42.7,0,0
Irrigation,378.9,287,79.2,72.8,3,1,62.9,47.2,7,28.5,1,71
Urban Infrastructure,424.9,533,66.9,51.5,1,21,54.1,74.8,5,5.8,0,0
Urban Infrastructure,308.5,274,35.0,10.4,2,11,58.1,80.0,4,29.0,0,0
Highway,493.0,295,87.7,90.3,2,7,97.5,83.6,8,15.8,0,0
Irrigation,334.8,202,80.2,59.0,0,19,31.6,6.9,5,25.7,1,81
Industrial Corridor,93.9,34,74.4,84.0,2,12,50.4,45.0,8,24.3,0,0
Highway,327.8,323,61.0,51.2,1,18,63.7,22.5,9,33.5,1,71
Railway,355.1,357,87.4,82.8,1,8,50.3,63.0,16,33.3,0,0
Urban Infrastructure,470.4,358,67.9,59.3,2,22,72.8,74.0,6,28.4,0,0
Urban Infrastructure,315.7,217,71.4,77.2,1,16,61.9,50.8,1,47.0,0,0
Urban Infrastructure,830.7,839,71.1,57.0,0,31,68.1,52.1,6,18.0,0,0
Industrial Corridor,263.7,94,79.2,49.0,1,5,65.4,65.2,6,41.0,0,0
Highway,191.4,175,53.6,59.2,0,12,60.9,67.8,6,41.3,1,15
Railway,670.9,1165,81.0,70.3,7,11,37.2,18.9,7,29.7,1,15
Irrigation,258.5,128,60.5,40.5,1,27,66.5,55.5,2,31.0,1,24
Irrigation,295.4,191,61.0,57.2,1,37,27.7,23.9,3,36.5,1,192
Railway,355.2,526,86.2,59.2,5,20,49.6,33.1,6,22.5,1,52
Irrigation,334.9,255,56.1,54.1,1,15,72.8,65.8,12,20.4,0,0
Railway,422.6,503,86.1,79.7,0,31,86.8,79.9,7,21.0,0,0
Industrial Corridor,452.2,428,73.6,79.5,2,13,100.0,93.6,10,29.2,0,0
Railway,178.3,177,45.6,35.8,1,53,54.4,57.7,3,20.8,0,0
Railway,112.7,54,93.8,85.8,2,9,45.7,50.5,4,18.1,0,0
Highway,124.7,58,77.0,60.1,2,2,73.4,72.3,1,14.6,0,0
Highway,624.1,687,78.3,79.2,4,4,100.0,90.5,2,15.2,0,0
Urban Infrastructure,243.2,70,88.1,89.6,3,13,93.7,100.0,22,19.0,0,0
Railway,487.7,325,96.0,81.5,1,71,42.3,19.1,3,19.2,0,0
Highway,460.4,465,75.2,47.6,4,7,60.2,50.9,4,27.2,0,0
Industrial Corridor,295.4,191,81.9,65.1,3,52,80.0,87.0,4,17.5,0,0
Irrigation,144.0,100,77.9,44.0,0,19,81.4,48.2,18,31.4,0,0
Highway,467.8,815,66.5,50.7,4,7,74.8,65.2,3,47.6,1,50
Highway,288.2,353,46.7,31.4,1,13,54.0,65.0,7,39.7,1,195
Highway,106.6,169,75.4,57.9,2,34,74.7,42.1,4,14.3,1,115
Irrigation,203.2,509,94.1,65.3,0,15,81.6,52.3,5,22.7,1,39
Highway,73.1,110,81.3,56.0,0,8,44.4,49.0,2,12.0,0,0
Highway,210.6,119,54.9,62.1,1,13,89.6,85.4,5,28.1,0,0
Highway,306.3,130,89.6,70.4,2,39,82.8,80.7,11,28.8,0,0
Irrigation,266.8,152,67.0,55.3,2,85,48.2,67.5,7,27.9,0,0
Highway,244.2,249,38.5,33.2,1,32,81.5,67.6,9,14.5,1,20
Industrial Corridor,304.0,184,88.3,100.0,1,55,79.3,57.6,3,18.9,0,0
Highway,405.7,199,56.9,70.5,3,32,80.0,61.1,11,36.5,0,0
Irrigation,513.5,869,100.0,97.1,3,31,94.5,85.0,7,30.4,0,0
Railway,559.1,332,90.4,100.0,2,26,62.8,39.7,5,16.5,0,0
Railway,162.8,159,68.4,65.2,3,23,69.6,77.6,6,11.9,0,0
Highway,594.9,571,79.3,61.3,1,9,10.2,0.0,7,25.2,0,0
Industrial Corridor,288.6,55,100.0,100.0,0,18,85.3,87.9,7,24.7,0,0
Urban Infrastructure,224.7,367,88.0,78.8,1,32,83.4,84.3,16,11.9,0,0
Highway,127.9,44,75.8,82.8,1,23,90.1,89.7,8,22.6,0,0
Highway,22.1,6,100.0,87.8,0,4,44.3,45.0,7,20.7,1,46
Urban Infrastructure,386.9,214,73.9,58.8,2,39,82.2,76.1,6,19.5,1,31
Irrigation,376.9,162,81.3,93.2,5,28,83.4,77.9,8,21.3,0,0
Highway,189.3,282,57.0,59.5,1,37,50.0,39.1,12,29.0,1,72
Highway,193.6,170,45.2,54.9,0,7,84.1,87.4,2,27.0,0,0
Irrigation,259.8,135,67.4,52.3,2,4,72.3,60.8,1,39.8,1,15
Industrial Corridor,221.9,57,72.6,62.3,0,15,29.0,36.4,6,28.2,1,95
Irrigation,156.9,147,77.3,70.0,3,24,74.7,54.7,4,34.9,0,0
Urban Infrastructure,116.2,73,49.3,43.1,0,49,47.7,27.9,7,11.4,1,110
Railway,599.2,608,82.6,70.1,1,22,29.5,20.6,7,27.7,0,0
Highway,202.4,178,58.7,45.9,2,64,70.3,71.0,6,21.9,1,31
Railway,375.5,165,81.7,80.6,0,12,61.7,48.0,14,34.0,1,83
Railway,426.2,465,87.0,87.9,1,26,91.1,95.4,4,28.8,0,0
Highway,388.2,122,65.7,58.5,3,3,66.6,57.1,4,43.3,1,55
Highway,441.6,270,56.6,51.3,1,34,78.6,71.9,17,15.7,0,0
Railway,385.3,256,96.7,59.9,1,47,73.2,24.8,3,18.2,1,31
Industrial Corridor,175.7,127,86.0,83.4,0,23,83.4,92.8,6,29.8,1,57
Highway,231.2,70,74.4,62.3,0,6,45.3,76.3,5,24.6,1,18
Railway,588.9,852,95.5,81.0,5,18,67.0,67.6,9,15.6,0,0
Irrigation,198.0,87,73.3,45.7,1,12,60.2,76.9,7,30.1,0,0
Irrigation,288.9,62,62.1,65.5,2,13,76.1,78.0,2,20.6,0,0
Industrial Corridor,406.9,365,56.0,29.2,1,18,68.1,78.6,5,31.0,1,67
Industrial Corridor,729.0,1481,70.3,64.4,4,6,50.7,55.3,4,7.3,1,15
Industrial Corridor,555.4,106,84.3,41.3,0,21,56.2,63.2,11,22.8,0,0
Highway,139.3,53,94.2,81.1,1,13,96.0,72.6,17,27.7,0,0
Railway,367.4,453,72.4,81.6,1,25,29.1,20.8,14,27.9,0,0
Irrigation,339.1,255,91.4,86.2,1,25,77.2,52.1,6,33.7,0,0
Highway,232.7,72,68.6,41.9,0,7,87.8,78.2,13,23.3,0,0
Highway,294.9,195,59.5,50.4,0,14,74.6,51.7,13,30.9,0,0
Highway,174.3,306,51.1,43.9,1,14,100.0,95.5,19,25.2,0,0
Railway,256.4,394,63.9,45.8,2,17,81.8,48.9,1,34.1,0,0
Railway,199.3,553,51.7,48.5,1,43,70.7,54.6,5,9.1,1,297
Highway,310.6,348,100.0,95.0,6,10,53.7,56.4,10,2.0,0,0
Industrial Corridor,226.5,123,79.0,84.2,3,14,71.1,52.8,4,39.8,0,0
Urban Infrastructure,764.2,932,70.5,38.3,5,25,76.6,67.2,2,19.7,1,165
Highway,317.8,149,99.6,100.0,3,19,63.1,57.1,3,7.3,0,0
Urban Infrastructure,276.8,192,51.2,40.8,1,33,48.1,37.7,9,24.2,1,79
Highway,246.6,116,69.8,55.1,4,25,38.9,18.6,4,20.3,0,0
Urban Infrastructure,226.9,253,100.0,92.2,2,14,66.7,89.5,3,30.1,0,0
Urban Infrastructure,106.6,113,69.7,79.3,0,20,33.4,29.7,17,31.4,0,0
Highway,487.0,243,100.0,100.0,1,39,53.6,34.4,9,21.4,1,49
Industrial Corridor,671.6,928,84.6,69.3,2,6,14.4,1.7,15,36.2,1,68
Urban Infrastructure,197.1,322,92.9,95.8,0,7,79.7,87.6,5,12.7,0,0
Urban Infrastructure,586.9,320,93.4,100.0,0,8,86.1,100.0,12,2.0,0,0
Urban Infrastructure,1165.2,1106,72.0,58.6,4,14,64.6,30.1,3,27.6,1,30
Irrigation,910.2,1537,64.2,68.4,6,16,99.6,93.4,4,23.2,1,56
Highway,652.8,588,70.2,53.4,3,44,89.9,58.2,5,5.2,1,21
Industrial Corridor,118.3,72,56.2,51.0,1,12,72.6,51.7,5,32.7,1,15
Irrigation,117.2,83,70.9,66.4,2,4,60.7,63.6,3,7.3,0,0
Irrigation,440.2,238,71.9,63.2,1,39,56.0,84.5,5,24.8,0,0
Railway,290.9,409,99.0,100.0,3,11,74.2,72.1,2,34.4,1,42
Irrigation,45.8,60,81.5,85.1,3,30,60.2,51.8,7,28.8,0,0
Highway,214.4,483,100.0,95.6,4,35,74.0,58.2,13,28.2,0,0
Industrial Corridor,427.4,198,37.4,45.4,0,21,75.4,83.1,4,20.8,1,53
Highway,259.1,135,52.5,34.5,1,17,58.4,46.7,6,27.9,1,35
Industrial Corridor,291.9,79,66.3,62.6,0,9,84.9,73.2,13,31.6,0,0
Industrial Corridor,117.0,120,95.9,100.0,2,9,58.4,34.6,17,18.9,0,0
Railway,212.3,74,70.2,70.0,0,36,63.4,59.0,12,13.6,0,0
Railway,441.4,966,48.5,39.1,1,24,43.4,27.8,7,34.7,1,108
Highway,204.7,88,68.1,66.3,2,36,57.6,44.3,10,46.4,0,0
Urban Infrastructure,617.2,111,52.8,39.2,2,12,100.0,77.9,10,42.4,1,22
Industrial Corridor,296.5,101,49.7,33.7,3,41,45.0,48.3,10,2.0,1,32
Railway,386.0,341,100.0,58.4,3,52,71.8,100.0,4,39.8,1,182
Highway,434.9,307,66.4,42.3,2,6,53.9,48.5,11,19.0,1,70
Highway,423.5,179,74.8,89.7,2,6,18.7,13.2,13,45.8,1,51
Railway,136.1,93,70.5,67.5,2,31,74.2,82.6,1,14.6,0,0
Urban Infrastructure,156.0,79,68.0,63.7,0,20,51.9,65.5,5,13.6,0,0
Industrial Corridor,44.9,45,58.5,42.4,2,15,69.4,69.0,9,25.4,1,37
Highway,230.6,82,67.0,72.1,0,34,82.8,75.5,8,21.6,0,0
Urban Infrastructure,146.9,119,77.4,76.8,1,11,67.7,57.3,9,22.1,1,91
Railway,200.2,166,94.7,100.0,3,11,69.6,94.9,3,36.4,0,0
Urban Infrastructure,248.2,179,87.2,87.6,0,6,45.6,62.9,1,39.6,0,0
Highway,323.7,304,52.5,52.4,1,38,77.1,51.2,7,15.6,1,36
Irrigation,261.8,178,87.8,84.2,0,5,59.2,53.0,6,44.0,0,0
Urban Infrastructure,258.4,287,79.6,88.2,1,35,23.0,14.0,13,12.5,1,69
Highway,365.8,263,62.0,40.3,1,27,79.5,90.5,9,19.4,0,0
Irrigation,283.0,408,74.9,60.3,2,35,85.7,76.8,1,53.9,1,17
Urban Infrastructure,510.2,412,81.2,93.5,5,7,92.6,89.2,9,30.1,0,0
Highway,283.7,394,72.8,64.4,3,17,100.0,100.0,15,18.8,0,0
Highway,731.8,375,79.7,93.6,3,9,78.5,91.4,13,28.9,0,0
Irrigation,131.7,51,58.2,31.4,1,49,73.3,77.3,9,33.8,1,126
Railway,227.7,252,100.0,69.4,1,19,84.8,46.2,5,29.7,0,0
Highway,176.8,129,41.1,33.9,0,12,45.3,41.5,6,40.1,1,166
Railway,332.3,45,81.2,85.1,2,9,29.6,8.8,6,16.5,0,0
Industrial Corridor,131.6,60,77.9,79.2,0,21,53.5,47.4,10,18.8,0,0
Highway,87.1,77,82.3,80.7,3,12,88.5,84.2,10,16.2,0,0
Railway,152.4,105,60.7,54.2,0,13,49.8,50.3,7,16.9,0,0
Industrial Corridor,92.7,41,90.7,63.5,3,16,72.3,43.1,12,26.5,0,0
Irrigation,250.5,181,70.3,48.9,1,69,74.5,59.9,4,14.3,0,0
Industrial Corridor,323.1,257,53.0,31.4,2,19,67.9,70.7,12,29.2,1,28
Railway,75.9,16,54.5,44.1,1,11,37.4,34.3,17,33.0,1,158
Urban Infrastructure,217.5,298,74.0,82.2,2,19,69.9,44.8,14,12.6,0,0
Irrigation,554.5,856,46.5,49.3,6,10,54.6,88.2,12,19.1,1,269
Highway,658.2,299,100.0,91.1,0,48,97.1,83.4,5,20.4,0,0
Urban Infrastructure,464.3,925,88.8,97.6,0,30,85.7,68.6,8,23.6,0,0
Railway,28.4,20,100.0,87.7,1,5,55.3,57.5,16,24.2,0,0
Highway,303.5,148,99.5,80.2,0,30,98.3,87.0,10,36.0,0,0
Highway,595.9,285,66.4,50.8,0,21,69.9,53.4,8,36.8,1,44
Irrigation,201.8,387,58.1,43.0,2,26,29.6,39.1,10,17.1,1,50
Highway,108.2,39,29.2,47.3,1,38,61.4,39.8,20,33.6,1,131
Highway,567.8,458,65.5,38.8,0,8,95.7,82.2,14,41.1,0,0
Highway,621.3,538,100.0,100.0,1,17,46.6,39.9,18,39.3,1,22
Railway,281.6,312,58.8,52.9,0,25,61.6,51.0,14,28.3,1,49
Railway,109.0,84,68.6,51.9,0,36,35.8,16.2,6,25.4,1,15
Irrigation,67.3,124,63.1,50.1,0,29,39.0,0.0,3,10.6,0,0
Highway,355.3,723,78.0,87.9,3,16,46.3,28.2,6,21.5,0,0
Highway,177.9,286,92.6,100.0,1,37,38.5,17.3,8,9.6,0,0
Irrigation,269.4,247,47.4,35.4,1,15,50.6,38.7,13,38.5,1,80
Railway,249.6,310,50.4,35.2,1,13,97.8,60.3,12,23.1,1,32
Irrigation,146.1,89,95.8,100.0,0,2,62.3,75.3,4,25.0,0,0
Highway,63.9,89,83.7,70.2,1,6,78.7,95.8,8,19.2,0,0
Highway,205.7,104,67.8,81.0,0,15,84.8,73.5,16,10.5,1,47
Highway,311.7,126,99.3,82.6,0,7,40.8,21.9,4,33.8,1,83
Railway,321.7,128,50.2,54.6,1,4,46.4,76.0,7,31.5,0,0
Railway,169.4,174,86.9,77.8,0,8,78.3,69.4,6,36.3,0,0
Industrial Corridor,613.3,1051,70.9,64.1,1,52,50.3,44.0,12,6.7,1,149
Railway,118.3,212,81.7,57.5,1,5,77.0,56.8,19,40.5,0,0
Irrigation,526.7,75,33.8,22.4,0,6,96.5,81.1,6,24.6,1,41
Irrigation,304.9,392,67.8,68.2,3,34,33.9,52.0,5,34.6,1,29
Highway,207.1,80,83.8,70.8,2,25,55.9,63.1,3,2.0,1,45
Railway,386.6,961,71.0,33.0,9,17,59.0,62.1,8,30.5,1,64
Railway,239.1,73,92.1,73.7,3,32,52.5,32.4,13,25.2,1,17
Railway,86.1,19,91.5,84.3,2,19,50.8,36.2,2,23.6,0,0
Highway,111.3,145,56.7,60.4,3,0,53.2,53.5,7,24.9,1,15
Industrial Corridor,228.1,133,85.2,85.8,1,11,62.7,51.5,9,19.4,0,0
Urban Infrastructure,187.4,105,56.1,38.6,2,77,66.3,73.2,12,10.5,1,83
Highway,519.0,233,72.9,77.3,1,19,82.1,42.4,9,12.1,0,0
Irrigation,181.0,91,82.5,74.5,3,40,62.5,44.9,3,26.3,1,15
Industrial Corridor,172.7,230,58.6,30.5,2,43,85.4,64.6,5,40.4,1,164
Highway,155.9,62,84.6,74.5,3,28,51.2,21.5,16,38.2,1,248
Industrial Corridor,145.8,99,63.9,71.0,1,17,39.0,14.8,11,28.5,1,149
Irrigation,149.6,55,62.7,24.2,1,8,56.9,47.4,5,20.6,0,0
Urban Infrastructure,97.7,77,83.3,50.6,0,5,72.2,66.0,7,48.7,0,0
Urban Infrastructure,313.7,174,58.6,43.6,2,42,80.2,51.9,4,33.5,1,65
Highway,253.6,247,57.8,31.9,2,24,92.2,82.8,2,32.5,0,0
Railway,246.2,258,88.7,84.4,0,24,68.8,71.0,7,11.3,0,0
Irrigation,71.1,123,73.7,55.6,0,28,78.1,39.6,5,28.8,1,32
Highway,364.7,873,48.7,46.6,1,13,90.4,95.4,9,12.4,1,60
Railway,389.2,187,85.7,96.7,0,36,47.4,64.4,21,48.9,0,0
Urban Infrastructure,709.7,795,65.5,21.2,5,20,58.8,34.9,9,16.7,1,52
Highway,375.4,206,49.6,61.3,2,15,100.0,100.0,9,19.3,0,0
Railway,800.6,826,31.9,19.7,3,24,80.1,64.6,13,18.9,1,39
Industrial Corridor,166.3,167,86.5,74.5,3,37,73.2,36.9,3,21.9,0,0
Railway,733.8,725,58.2,43.0,3,14,80.9,92.5,10,33.4,1,42
Railway,383.5,449,52.1,45.4,1,77,36.3,27.9,4,26.0,1,153
Urban Infrastructure,352.0,288,82.2,75.3,2,5,50.1,18.8,13,26.5,1,44
Railway,241.7,141,84.9,75.0,3,27,42.8,23.6,9,33.9,1,179
Highway,206.5,164,59.4,44.7,2,10,71.4,65.1,3,9.3,0,0
Highway,176.1,404,86.6,78.6,1,20,55.6,10.8,9,34.2,0,0
Urban Infrastructure,749.6,387,100.0,93.0,3,31,64.9,57.3,2,27.5,0,0
Highway,236.3,145,93.5,100.0,0,157,56.8,41.8,3,18.3,0,0
Railway,388.1,177,91.1,54.9,1,3,30.5,0.0,2,27.4,0,0
Highway,445.2,84,77.0,61.5,2,7,80.7,57.0,13,27.2,1,20
Railway,441.0,315,64.9,54.0,2,28,27.8,0.0,10,2.0,0,0
Urban Infrastructure,314.7,338,71.1,71.8,2,38,48.4,52.9,8,41.1,1,17
Railway,725.3,296,79.1,85.2,3,13,36.7,9.3,4,39.3,1,81
Urban Infrastructure,368.1,582,51.9,31.9,2,7,45.4,33.9,10,11.6,1,138
Highway,172.7,165,59.7,53.9,0,28,67.0,69.2,8,17.7,1,15
Railway,213.6,286,49.2,32.5,2,11,87.7,75.4,5,40.9,1,77
Urban Infrastructure,74.9,68,75.8,86.7,0,46,31.8,19.9,9,33.3,1,32
Railway,338.2,228,73.3,43.6,2,26,51.9,14.9,10,30.3,1,241
Highway,409.7,243,61.6,41.0,2,28,28.0,13.3,3,30.8,1,100
Urban Infrastructure,433.1,382,85.1,78.2,1,42,50.9,53.6,15,30.1,0,0
Railway,383.5,356,55.3,40.8,2,65,64.4,70.6,7,14.3,0,0
Irrigation,242.3,131,61.0,42.6,4,8,78.3,70.0,10,19.8,1,15
Urban Infrastructure,275.4,183,84.5,95.2,3,15,20.6,31.8,6,37.0,0,0
Highway,276.0,564,86.9,55.4,3,46,74.0,75.7,9,33.2,1,152
Highway,520.2,417,59.3,44.5,0,20,43.5,38.2,6,29.1,1,131
Highway,50.3,43,75.7,77.6,0,12,38.7,36.0,6,18.9,1,19
Railway,196.3,347,59.5,66.9,4,18,64.3,44.4,6,36.9,0,0
Highway,124.2,116,68.8,47.0,0,62,75.5,77.6,8,15.4,0,0
Irrigation,911.7,677,74.3,63.3,1,19,61.0,89.0,11,42.3,1,148
Highway,586.7,773,81.0,66.2,2,30,41.1,57.4,11,18.0,1,171
Irrigation,202.4,233,77.1,68.7,1,15,61.0,52.3,11,16.4,1,91
Highway,89.0,77,76.4,82.4,1,4,48.5,48.3,8,26.3,0,0
Railway,111.6,101,54.7,39.6,0,37,75.1,84.7,5,28.3,0,0
Railway,515.7,323,78.2,73.0,0,15,84.5,46.1,1,27.1,0,0
Industrial Corridor,72.8,26,80.8,73.1,2,40,83.2,61.8,11,11.4,0,0
Railway,278.5,294,83.0,41.7,3,29,62.6,54.5,8,30.6,1,52
Railway,462.6,120,60.5,40.3,2,24,85.5,73.0,5,36.8,1,31
Urban Infrastructure,102.6,37,86.6,65.6,1,49,42.6,37.6,1,25.1,0,0
Irrigation,276.5,182,50.9,5.0,1,15,98.7,100.0,7,9.0,0,0
Highway,204.9,127,65.1,51.7,1,36,42.5,18.0,12,23.7,1,107
Urban Infrastructure,185.6,208,67.6,57.9,1,19,22.4,0.6,3,13.5,0,0
Railway,162.7,210,51.8,53.3,2,14,90.3,100.0,16,4.8,0,0
Highway,487.5,1077,67.3,65.6,0,27,48.8,36.4,23,20.0,1,26
Railway,666.3,154,75.5,96.2,1,12,65.3,51.2,5,43.9,0,0
Highway,228.8,225,42.8,23.7,0,15,42.4,38.2,6,25.1,1,15
Highway,353.1,340,65.7,75.4,1,22,100.0,59.5,6,23.0,0,0
Industrial Corridor,280.9,251,44.0,23.4,1,47,99.4,60.6,5,33.8,1,237
Highway,57.0,60,100.0,92.6,0,50,93.9,90.6,19,32.7,0,0
Industrial Corridor,222.4,264,75.4,65.6,1,7,64.8,59.1,6,9.9,0,0
Urban Infrastructure,46.6,75,74.0,66.6,2,13,82.6,78.7,20,46.6,1,19
Irrigation,192.4,175,75.7,48.3,1,32,61.9,62.1,3,28.2,0,0
Industrial Corridor,271.2,511,81.7,56.8,0,12,85.4,90.2,8,36.0,1,15
Industrial Corridor,438.8,400,87.7,80.1,2,13,54.8,38.2,4,19.5,0,0
Urban Infrastructure,332.0,188,47.0,51.6,2,18,94.7,56.3,3,4.5,1,15
Railway,495.6,428,93.0,72.1,4,31,53.8,21.5,4,24.7,1,39
Highway,142.8,62,91.9,97.5,1,24,56.1,35.3,5,13.9,0,0
Railway,613.8,274,70.9,84.7,2,51,53.7,80.8,6,38.9,1,52
Irrigation,666.7,462,70.1,55.1,2,21,66.8,85.8,2,10.4,1,84
Highway,44.2,28,22.4,5.0,1,24,55.2,30.2,18,26.3,1,132
Irrigation,69.0,109,52.1,49.8,3,19,72.7,39.4,9,32.6,1,40
Highway,266.7,184,80.3,66.6,1,26,53.4,36.1,10,30.7,1,66
Urban Infrastructure,181.8,71,91.2,89.0,2,14,78.8,74.4,8,20.5,0,0
Highway,203.6,157,83.7,65.6,1,27,93.4,64.1,14,6.4,1,19
